id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,predicted_idx,predicted_attack_cat
48883,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,5,4,4,4,0,0,0,4,10,0,Exploits,1,3,Exploits
46345,0.735916,tcp,-,FIN,36,18,28032,1342,72.019087,62,252,296272.9375,13784.18164,15,5,21.026171,30.407706,1447.178639,1435.957439,255,2095547142,158429705,255,0.0,0.0,0.0,779,75,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
52886,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,2,7,7,3,7,0,0,0,7,13,0,Generic,1,3,Exploits
31283,0.001785,udp,-,CON,4,4,512,304,3921.568691,31,29,1721008.375,1021848.75,0,0,0.470333,0.216667,0.659499,0.297932,0,0,0,0,0.0,0.0,0.0,128,76,0,0,9,0,5,1,1,3,0,0,0,4,7,0,Normal,0,3,Exploits
34924,0.005572,tcp,-,FIN,18,18,4232,2456,6281.406976,31,29,5738693.5,3330940.5,7,7,0.307706,0.298,16.498583,0.376021,255,1601661538,1604974605,255,0.000624,0.000501,0.000123,235,136,0,0,5,0,10,1,1,3,0,0,0,3,14,0,Normal,0,3,Exploits
41230,0.561027,tcp,-,CON,6,2,998,86,12.477118,62,252,11863.95703,613.161255,2,1,112.2054,0.003,5651.447927,0.0,255,2401018720,967212869,255,0.245893,0.16383,0.082063,166,43,0,0,5,3,1,1,1,4,0,0,0,1,4,0,Normal,0,3,Exploits
14284,6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,24,24,9,24,0,0,0,24,24,0,Generic,1,3,Exploits
40366,1.524594,tcp,-,FIN,10,10,608,646,12.462335,254,252,2875.519775,3053.927979,2,3,169.399333,152.887328,12504.34583,356.935625,255,3036981343,3191410569,255,0.142358,0.087858,0.0545,61,65,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Normal,0,3,Exploits
69106,0.419858,tcp,-,FIN,10,6,2516,268,35.726364,254,252,43157.44922,4268.109375,2,1,43.966222,67.311,2321.293945,103.529813,255,3878033356,2832797526,255,0.168871,0.083294,0.085577,252,45,0,0,2,1,1,1,1,2,0,0,0,19,2,0,Normal,0,3,Exploits
65789,0.713755,tcp,-,FIN,20,20,2754,1694,54.640597,62,252,29332.19336,18045.4082,7,8,37.566051,35.041844,1795.599993,40.692301,255,277653718,3448687727,255,0.102371,0.04322,0.059151,138,85,0,0,4,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
57764,1.272488,tcp,-,FIN,116,34,132544,2288,117.093442,62,252,826110.75,13963.19629,55,8,11.065113,37.500333,1107.237326,1871.05821,255,3436305101,2674627809,255,0.062555,0.03427,0.028285,1143,67,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
43388,0.177298,tcp,-,FIN,10,6,756,268,84.603326,254,252,30727.92773,10107.27734,2,1,18.906889,33.905398,1002.926716,59.469437,255,1941571190,3801254046,255,0.053903,0.007764,0.046139,76,45,0,0,7,1,2,2,1,7,0,0,0,2,7,0,Normal,0,3,Exploits
42553,0.606499,tcp,-,FIN,10,6,534,268,24.732109,254,252,6344.610352,2954.662598,2,1,62.705444,102.856,3114.803907,149.447266,255,4292577288,2429090242,255,0.162343,0.092216,0.070127,53,45,0,0,3,1,2,1,1,3,0,0,0,2,3,0,Normal,0,3,Exploits
64060,4e-06,unas,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,4,4,4,4,0,0,0,8,11,0,Exploits,1,3,Exploits
73942,0.227228,tcp,http,FIN,10,6,1526,268,66.012991,254,252,48374.32031,7886.352051,2,1,23.740444,39.148,1216.262525,57.458773,255,58818458,1164368772,255,0.085653,0.031487,0.054166,153,45,1,0,9,1,3,3,1,10,0,0,1,3,10,0,Normal,0,9,Worms
18829,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,19,19,10,29,0,0,0,19,29,0,Generic,1,3,Exploits
9406,0.413035,tcp,http,FIN,10,6,1206,268,36.316534,254,252,21034.53711,4338.615234,2,1,45.892778,80.256797,3118.07918,137.445266,255,597073499,2013623196,255,0.051774,0.011084,0.04069,121,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1,9,Worms
71638,1.016747,tcp,-,FIN,16,12,904,678,26.555279,254,252,6672.259766,4894.039551,4,4,67.783132,86.462547,3634.809524,128.345891,255,656324138,1873663455,255,0.116716,0.052776,0.06394,57,57,0,0,4,1,1,1,1,4,0,0,0,2,4,0,Normal,0,3,Exploits
38965,0.005349,tcp,ftp-data,FIN,14,6,8928,320,3552.065817,31,29,12400075.0,399326.9688,4,1,0.411462,0.9342,23.261432,1.561326,255,3538860733,3544845976,255,0.000709,0.000543,0.000166,638,53,0,0,2,0,2,1,1,2,0,0,0,2,8,0,Normal,0,3,Exploits
36629,2.877068,tcp,http,FIN,14,18,1684,10168,10.774858,31,29,4348.871582,26704.96484,3,5,221.286308,169.207235,18323.75368,16029.65052,255,3120608724,3165441357,255,0.000697,0.000541,0.000156,120,565,1,3924,3,0,1,1,1,1,0,0,1,1,4,0,Normal,0,3,Exploits
6010,1.903207,tcp,-,FIN,38,160,1880,193931,103.5095,62,252,7696.48291,810081.125,6,78,51.438025,11.615019,2483.590265,1165.271744,255,668543562,3858214406,255,0.076059,0.04404,0.032019,49,1212,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
78265,5e-06,udp,-,INT,2,0,78,0,200000.0051,254,0,62400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,8,2,2,2,1,5,0,0,0,2,5,0,Normal,0,3,Exploits
9273,0.362272,tcp,http,FIN,10,10,744,6174,52.446781,62,252,14795.5127,122714.4297,2,3,40.181,33.731444,2048.575346,1971.291475,255,3388174400,3688155861,255,0.075817,0.058684,0.017133,74,617,1,2649,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1,3,Exploits
23169,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,18,18,18,23,0,0,0,18,23,0,Generic,1,3,Exploits
17553,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,30,2,8,8,8,30,0,0,0,8,30,0,Generic,1,3,Exploits
78815,2.118946,tcp,-,FIN,10,8,844,354,8.022856,254,252,2869.351074,1170.393188,2,1,235.374444,285.473156,14634.73569,601.727938,255,623251860,2560514605,255,0.311191,0.120624,0.190567,84,44,0,0,3,1,1,1,1,1,0,0,0,1,4,0,Normal,0,3,Exploits
22307,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,22,2,22,22,22,22,0,0,0,22,22,0,Generic,1,3,Exploits
57851,0.198007,tcp,-,FIN,10,6,1008,268,75.754897,254,252,36685.57031,9050.18457,2,1,20.912444,34.816398,1230.215581,53.261293,255,719080926,1975254363,255,0.030915,0.023921,0.006994,101,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
64220,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,3,3,3,3,0,0,0,3,7,0,Generic,1,3,Exploits
26894,0.001036,udp,dns,CON,2,2,132,164,2895.752973,31,29,509652.5313,633204.625,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,3,1,1,1,0,0,0,3,1,0,Normal,0,3,Exploits
51208,4e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,9,14,0,Exploits,1,3,Exploits
38210,1.432604,tcp,-,FIN,24,20,2158,1918,30.015274,31,29,11553.78613,10180.06445,6,5,62.287127,75.364213,0.0,5158.644569,255,1145284658,1145546677,255,0.000709,0.000546,0.000163,90,96,0,0,10,0,3,1,1,1,0,0,0,3,6,0,Normal,0,3,Exploits
35241,0.001036,udp,dns,CON,2,2,146,178,2895.752973,31,29,563706.5625,687258.6875,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,1,2,1,1,0,0,0,2,2,0,Normal,0,3,Exploits
18545,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,37,37,22,37,0,0,0,37,37,0,Generic,1,3,Exploits
30074,1.174854,tcp,ssh,FIN,100,102,14512,17238,171.085082,31,29,97830.02344,116228.9063,22,32,11.867212,11.62504,815.232838,809.905743,255,3000832807,855741971,255,0.000748,0.000587,0.000161,145,169,0,0,1,0,7,1,1,2,0,0,0,4,1,0,Normal,0,3,Exploits
48031,1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,7,7,4,7,0,0,0,7,11,0,Generic,1,3,Exploits
15023,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,32,32,20,36,0,0,0,33,36,0,Generic,1,3,Exploits
68727,0.550979,tcp,-,FIN,10,6,2516,268,27.224267,254,252,32886.91406,3252.392334,2,1,56.278222,96.671797,2916.98977,150.286453,255,2459480164,3265042661,255,0.13802,0.067615,0.070405,252,45,0,0,2,1,1,1,1,2,0,0,0,19,2,0,Normal,0,3,Exploits
66729,4e-06,udp,-,INT,2,0,104,0,250000.0006,254,0,104000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,5,2,2,2,1,4,0,0,0,4,4,0,Normal,0,3,Exploits
77375,1.015938,tcp,-,FIN,16,12,906,642,26.576424,254,252,6693.321777,4638.078125,5,3,65.122199,87.476367,3896.602074,122.217203,255,3947632852,1112680071,255,0.120631,0.053688,0.066943,57,54,0,0,5,1,1,1,1,5,0,0,0,1,5,0,Normal,0,3,Exploits
11584,1.886487,tcp,-,FIN,16,26,734,22436,21.733518,62,252,2921.833008,91488.57031,3,11,125.765796,69.191279,6673.458468,5726.674265,255,417435309,3647343038,255,0.263977,0.125487,0.13849,46,863,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1,3,Exploits
68830,7e-06,tcp,-,REQ,2,0,90,0,142857.1409,254,0,51428572.0,0.0,1,0,0.007,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,11,6,6,1,1,10,0,0,0,6,11,0,Normal,0,3,Exploits
70324,1.165798,tcp,-,FIN,10,8,534,354,14.582287,254,252,3300.743408,2127.29834,2,1,129.533111,155.410719,9677.079939,238.094188,255,320744078,3781038542,255,0.096195,0.062963,0.033232,53,44,0,0,3,1,1,1,1,2,0,0,0,1,3,0,Normal,0,3,Exploits
2311,3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,1,0,Reconnaissance,1,3,Exploits
30317,0.897033,tcp,ssh,FIN,70,62,12472,12820,146.036995,31,29,109641.4531,112495.3047,17,17,13.000479,14.693246,752.449243,801.359663,255,3287739710,1138455499,255,0.000755,0.000596,0.000159,178,207,0,0,1,0,2,1,1,1,0,0,0,2,2,0,Normal,0,3,Exploits
63656,2.102171,tcp,-,FIN,18,18,1016,2952,16.649455,62,252,3653.365967,10609.98438,6,7,123.657118,119.438414,7089.707195,180.013234,255,3647009496,837711540,255,0.158704,0.070758,0.087946,56,164,0,0,2,1,1,1,1,1,0,0,0,6,1,0,Exploits,1,3,Exploits
82240,0.670568,tcp,-,FIN,10,6,756,268,22.369096,254,252,8124.456055,2672.361328,2,1,69.314111,109.290203,3794.25515,171.802344,255,2874321609,134985815,255,0.174738,0.124115,0.050623,76,45,0,0,2,1,2,1,1,2,0,0,0,1,2,0,Normal,0,3,Exploits
76150,8e-06,udp,-,INT,2,0,104,0,125000.0003,254,0,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,2,2,1,3,0,0,0,7,3,0,Normal,0,3,Exploits
77188,0.793967,tcp,-,FIN,14,12,3336,678,31.487454,254,252,31215.40234,6267.262695,4,4,60.98531,68.150727,3001.028977,78.722156,255,821899923,1309826331,255,0.088281,0.044302,0.043979,238,57,0,0,4,1,1,1,1,4,0,0,0,2,4,0,Normal,0,3,Exploits
24899,0.001029,udp,dns,CON,2,2,146,178,2915.451794,31,29,567541.3125,691933.875,0,0,0.006,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,1,1,1,1,0,0,0,5,2,0,Normal,0,3,Exploits
13568,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,26,26,12,34,0,0,0,26,34,0,Generic,1,3,Exploits
67270,5e-06,udp,-,INT,2,0,104,0,200000.0051,254,0,83200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,3,0,0,0,2,3,0,Normal,0,3,Exploits
38803,0.004458,udp,-,CON,4,4,568,312,1570.210874,31,29,764468.375,419919.25,0,0,1.194,1.022333,1.682207,1.435899,0,0,0,0,0.0,0.0,0.0,142,78,0,0,7,0,5,1,1,3,0,0,0,3,11,0,Normal,0,3,Exploits
72266,0.499282,tcp,-,FIN,10,6,594,268,30.043142,254,252,8572.30957,3589.154053,2,1,53.041778,86.920797,2844.49302,147.695188,255,1446770687,4026699441,255,0.108413,0.06467,0.043743,59,45,0,0,8,1,3,2,1,8,0,0,0,2,8,0,Normal,0,3,Exploits
21996,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,25,25,25,29,0,0,0,25,29,0,Generic,1,3,Exploits
69438,0.804247,tcp,http,FIN,10,8,846,1104,21.137784,62,252,7579.760742,9608.988281,2,2,89.360778,99.85743,4447.185687,154.745875,255,2571656743,2598115105,255,0.236189,0.1046,0.131589,85,138,1,131,4,1,1,1,1,3,0,0,1,1,3,0,Normal,0,3,Exploits
21185,6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,14,13,13,36,0,0,0,13,36,0,Generic,1,3,Exploits
16124,2e-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,15,15,15,25,0,0,0,15,25,0,Generic,1,3,Exploits
14944,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,2,33,33,18,33,0,0,0,33,33,0,Generic,1,3,Exploits
47933,4e-06,prm,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,21,2,6,6,6,6,0,0,0,6,16,0,Exploits,1,3,Exploits
58962,1.1e-05,ttp,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,4,4,4,4,0,0,0,4,10,0,DoS,1,3,Exploits
63533,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,7,7,3,7,0,0,0,7,14,0,Generic,1,3,Exploits
6265,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,4,4,4,8,0,0,0,13,8,0,Exploits,1,3,Exploits
79313,1.11215,tcp,-,FIN,10,8,2530,354,15.285708,254,252,16379.08594,2229.915039,2,1,123.572222,138.532,7403.405411,209.674359,255,4011304712,2391208240,255,0.176271,0.08224,0.094031,253,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal,0,3,Exploits
25908,0.220151,tcp,-,FIN,76,72,85672,3788,667.723495,29,31,3072254.75,135761.3594,33,1,2.935347,3.075268,156.298979,4.016229,255,178193820,51821024,255,0.0,0.0,0.0,1127,53,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Normal,0,3,Exploits
75532,1.082826,tcp,-,FIN,14,12,774,642,23.087735,254,252,5312.025879,4351.576172,4,3,83.29431,92.182727,5359.052184,132.797672,255,340182413,3636718186,255,0.142574,0.04443,0.098144,55,54,0,0,3,1,1,1,1,3,0,0,0,23,3,0,Normal,0,3,Exploits
66052,8.613407,tcp,-,REQ,4,0,180,0,0.348294,254,0,125.385925,0.0,3,0,2871.13575,0.0,4060.39125,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,28,6,10,2,2,26,0,0,0,11,26,0,Normal,0,3,Exploits
